"개소 
 관리번호",주용도,설치대수,Latitude,Longitude
공063,공원 방범,2,37.5606422,126.9690479
공064,공원 방범,1,37.5606422,126.9690479
공065,공원 방범,2,37.5606422,126.9690479
공066,공원 방범,2,37.5606422,126.9690479
공067,공원 방범,2,37.5606422,126.9690479
공068,공원 방범,2,37.5606422,126.9690479
공069,공원 방범,1,37.5606422,126.9690479
공070,공원 방범,2,37.5606422,126.9690479
공071,공원 방범,2,37.5606422,126.9690479
공072,공원 방범,2,37.5628448,126.9754161
공073,공원 방범,3,37.56223468,127.0245332
공075,공원 방범,2,37.5673064,126.9867527
공076,공원 방범,2,37.5556652,126.9645497
공077,공원 방범,2,37.5556652,126.9645497
공078,공원 방범,2,37.5556652,126.9645497
공079,공원 방범,2,37.5556652,126.9645497
공080,공원 방범,2,37.5556652,126.9645497
공081,공원 방범,2,37.5556652,126.9645497
공082,공원 방범,2,37.5556652,126.9645497
공083,공원 방범,2,37.5556652,126.9645497
공084,공원 방범,2,37.5556652,126.9645497
공090,공원 방범,3,37.5672983,127.0037006
공091,공원 방범,3,37.5672983,127.0037006
공092,공원 방범,3,37.5672983,127.0037006
공093,공원 방범,3,37.5652959,126.9895634
남101,일반 방범,4,37.5617465,126.9776044
남102,일반 방범,4,37.5664021,126.9818843
남103,일반 방범,4,37.5641496,126.9785416
남104,일반 방범,4,37.5681784,126.9816006
남105,일반 방범,2,37.5630763,126.9765618
남106,일반 방범,4,37.5666249,126.9802317
남107,일반 방범,4,37.568715,126.9795727
남108,일반 방범,1,37.5629351,126.9775213
남109,일반 방범,2,37.5678062,126.9808586
남110,일반 방범,4,37.5664489,126.9794633
남111,일반 방범,3,37.5684158,126.9788458
남112,일반 방범,4,37.564152,126.981643
남113,일반 방범,3,37.5620577,126.9805633
남114,일반 방범,3,37.5669154,126.9819427
남115,일반 방범,5,37.561767,126.9782062
남201,일반 방범,2,37.5574069,126.9694999
남202,일반 방범,3,37.5562032,126.9749646
남203,일반 방범,3,37.5576858,126.9738999
남204,일반 방범,3,37.5574069,126.9694999
남205,일반 방범,2,37.5564965,126.9710206
남206,일반 방범,3,37.558929,126.9753237
남207,일반 방범,4,37.5593645,126.9719381
남208,일반 방범,5,37.558252,126.9740382
남209,일반 방범,4,37.5539452,126.9756206
남210,일반 방범,3,37.5583822,126.9723285
남211,일반 방범,1,37.5554652,126.9737482
남212,일반 방범,1,37.5554652,126.9737482
남213,일반 방범,1,37.5554652,126.9737482
남214,일반 방범,1,37.5554652,126.9737482
남215,일반 방범,1,37.5554652,126.9737482
남301,일반 방범,3,37.5624638,126.9851318
남302,일반 방범,2,37.5614189,126.9856893
남303,일반 방범,4,37.5609432,126.9825464
남304,일반 방범,4,37.5635138,126.9833835
남305,일반 방범,3,37.5584741,126.9856636
남306,일반 방범,3,37.5611017,126.9838034
남307,일반 방범,4,37.5650297,126.9841598
남308,일반 방범,2,37.5632533,126.9868325
남309,일반 방범,4,37.5642948,126.9879413
남310,일반 방범,5,37.5585738,126.9844727
남311,일반 방범,3,37.5603159,126.9857687
남312,일반 방범,3,37.5578736,126.9841528
남313,일반 방범,3,37.5576648,126.986168
남314,일반 방범,1,37.5600487,126.9867684
남315,일반 방범,3,37.5581643,126.9835852
남316,일반 방범,3,37.5578984,126.9843143
남317,일반 방범,2,37.5645851,126.9845337
남318,일반 방범,3,37.5593378,126.9859348
남319,일반 방범,3,37.5598153,126.9847829
남320,일반 방범,2,37.5636108,126.9847122
남321,일반 방범,3,37.5648385,126.9865507
남322,일반 방범,2,37.5572536,126.9837209
남323,일반 방범,2,37.5599557,126.9841336
남324,일반 방범,1,37.5594319,126.986401
남324,일반 방범,1,37.5594659,126.986401
남325,일반 방범,2,37.5576277,126.985735
남326,일반 방범,3,37.5583311,126.9831879
남327,일반 방범,4,37.5589757,126.9858435
남401,일반 방범,3,37.5605355,126.9771642
남402,일반 방범,3,37.5609432,126.9825464
남403,일반 방범,2,37.5607381,126.9784161
남404,일반 방범,3,37.5608932,126.9787524
남405,일반 방범,3,37.5606855,126.9785945
남406,일반 방범,4,37.5582887,126.9807743
남407,일반 방범,3,37.5602913,126.978438
남408,일반 방범,4,37.5583507,126.9763276
남409,일반 방범,3,37.5603299,126.9795682
남410,일반 방범,3,37.5609432,126.9825464
남411,일반 방범,4,37.5588018,126.9773843
남412,일반 방범,3,37.5591536,126.9762838
남413,일반 방범,3,37.5593159,126.9786958
남414,일반 방범,3,37.5586469,126.9780809
남501,일반 방범,1,37.5599546,126.9661496
남502,일반 방범,1,37.5572754,126.9638449
남503,일반 방범,1,37.5581609,126.9641258
남504,일반 방범,3,37.5556652,126.9645497
남505,일반 방범,1,37.5576277,126.9670317
남506,일반 방범,1,37.5527787,126.9630572
남507,일반 방범,2,37.5561784,126.9637888
남508,일반 방범,3,37.5566787,126.9651502
남509,일반 방범,1,37.5570331,126.9668351
남510,일반 방범,4,37.5564707,126.9676396
남511,일반 방범,1,37.5576237,126.9660516
남512,일반 방범,1,37.5588793,126.9687903
남513,일반 방범,4,37.5573124,126.9686851
남514,일반 방범,4,37.5580081,126.9633435
남514가,일반 방범,2,37.5584815,126.963308
남515,일반 방범,1,37.558233,126.9627892
남516,일반 방범,1,37.557181,126.9657126
남516가,일반 방범,3,37.5567435,126.9655556
남517,일반 방범,4,37.5583548,126.9687772
남518,일반 방범,4,37.555601,126.9677184
남519,일반 방범,4,37.558915,126.9639161
남520,일반 방범,3,37.557484,126.9633836
남520가,일반 방범,2,37.5576546,126.9631051
남521,일반 방범,4,37.5537838,126.9649571
남522,일반 방범,1,37.5523158,126.9623755
남523,일반 방범,2,37.5595241,126.9672059
남524,일반 방범,1,37.559064,126.9649712
남525,일반 방범,4,37.5572754,126.9638449
남526,일반 방범,4,37.5607773,126.9682129
남527,어린이보호,2,37.5583265,126.9674929
남601,일반 방범,3,37.5563881,126.9803181
남602,일반 방범,3,37.5568216,126.9787684
남602가,일반 방범,2,37.5563625,126.9783004
남603,일반 방범,1,37.5567837,126.9812611
남603가,일반 방범,1,37.5567837,126.9812611
남604,일반 방범,2,37.5589596,126.9801042
남605,일반 방범,3,37.5576379,126.9826269
남606,일반 방범,3,37.5589139,126.9777347
남607,일반 방범,3,37.5560103,126.9812332
남608,일반 방범,4,37.5574474,126.97956
남608나,일반 방범,1,37.5576529,126.9804015
남609,일반 방범,3,37.5575233,126.9773972
남610,일반 방범,3,37.5544848,126.9812256
남611,일반 방범,2,37.5558403,126.98106
남612,일반 방범,4,37.5575024,126.9820583
남613,일반 방범,3,37.5562951,126.9776992
남614,어린이보호,3,37.5568216,126.9787684
남701,일반 방범,3,37.5629599,126.9728983
남702,일반 방범,2,37.5675574,126.9722228
남703,일반 방범,3,37.566855,126.9708266
남704,일반 방범,3,37.5644115,126.9688748
남705,일반 방범,1,37.5623429,126.9744756
남706,일반 방범,1,37.5635558,126.9692092
남707,일반 방범,3,37.5685606,126.9744424
남708,일반 방범,3,37.5664694,126.9695822
남709,일반 방범,3,37.5618573,126.9728308
남710,일반 방범,4,37.5623539,126.9703633
남D38,어린이보호,4,37.5599652,126.9879648
남D39,일반 방범,3,37.5570868,126.985173
남D40,일반 방범,3,37.5584543,126.9866202
남D42,일반 방범,3,37.5569756,126.9841888
남D42가,일반 방범,2,37.5571318,126.9843372
남D43,일반 방범,1,37.5577327,126.9867296
남D44,일반 방범,2,37.5571543,126.9839158
남D45,일반 방범,3,37.5637972,126.9716128
남E18,일반 방범,3,37.5679725,126.9799824
남E19,어린이보호,3,37.5637438,126.9723782
남E20,일반 방범,2,37.5671745,126.969131
남E22,일반 방범,3,37.5623839,126.9770274
남E23,일반 방범,1,37.56027,126.9759784
남E24,일반 방범,1,37.56027,126.9759784
남E25,일반 방범,1,37.56027,126.9759784
남E26,일반 방범,1,37.56027,126.9759784
남E27,일반 방범,3,37.5599416,126.9753042
남E28,일반 방범,3,37.5599416,126.9753042
남E29,일반 방범,4,37.5669379,126.9707912
남E30,일반 방범,2,37.5678119,126.9695829
남E31,일반 방범,3,37.56587699,126.9773993
남K28,일반 방범,3,37.5589159,126.9682296
남K29,어린이보호,3,37.5554859,126.9672333
남K30,일반 방범,2,37.5595498,126.9653471
남K31,일반 방범,3,37.5569333,126.9679853
남O45,일반 방범,3,37.5565489,126.9802661
남O46,일반 방범,3,37.555627,126.981295
남O47,일반 방범,3,37.5567341,126.9825124
남O48,일반 방범,2,37.5562307,126.9820213
남O49,일반 방범,4,37.5578209,126.9814903
남O50,일반 방범,3,37.5567029,126.9805718
남O50가,일반 방범,1,37.5572377,126.9806279
남O50나,일반 방범,2,37.5569358,126.9808244
남O51,일반 방범,3,37.5577974,126.9729533
남O52,일반 방범,3,37.5577974,126.9729533
남O53보1,일반 방범,3,37.56185068,126.9799243
남O54보1,일반 방범,2,37.56185068,126.9799243
남O55,일반 방범,3,37.5571448,126.9785263
남O56,일반 방범,1,37.5544309,126.9746859
남O57,일반 방범,1,37.5548822,126.974356
남O58,일반 방범,1,37.5581504,126.9833409
남O59,일반 방범,1,37.5581504,126.9833409
남O60,일반 방범,1,37.5581504,126.9833409
문001,시설관리(문화재),1,37.5650657,126.9796883
문002,시설관리(문화재),1,37.5650657,126.9796883
문003,시설관리(문화재),1,37.5650657,126.9796883
문004,시설관리(문화재),1,37.5650657,126.9796883
문005,시설관리(문화재),1,37.5650657,126.9796883
문006,시설관리(문화재),1,37.5650657,126.9796883
문007,시설관리(문화재),1,37.5650657,126.9796883
문008,시설관리(문화재),1,37.567963,126.971437
문009,시설관리(문화재),1,37.567963,126.971437
문010,시설관리(문화재),1,37.567963,126.971437
문011,시설관리(문화재),1,37.567963,126.971437
문012,시설관리(문화재),1,37.5643603,127.0099766
문013,시설관리(문화재),1,37.5643603,127.0099766
문014,시설관리(문화재),1,37.5643603,127.0099766
문015,시설관리(문화재),1,37.5643603,127.0099766
문016,시설관리(문화재),1,37.5643603,127.0099766
문017,시설관리(문화재),1,37.5643603,127.0099766
문018,시설관리(문화재),1,37.5643603,127.0099766
문019,시설관리(문화재),1,37.5643603,127.0099766
문020,시설관리(문화재),1,37.5643603,127.0099766
문021,시설관리(문화재),1,37.5643603,127.0099766
문022,시설관리(문화재),1,37.5688127,127.0018005
문023,시설관리(문화재),1,37.5688127,127.0018005
문024,시설관리(문화재),1,37.5500108,127.0004802
문025,시설관리(문화재),1,37.5500108,127.0004802
문027,시설관리(문화재),1,37.5650292,126.9765362
문028,시설관리(문화재),1,37.5585916,126.9997567
문029,시설관리(문화재),1,37.5585916,126.9997567
문030,시설관리(문화재),1,37.5585916,126.9997567
문031,시설관리(문화재),1,37.5585916,126.9997567
문032,시설관리(문화재),1,37.5585916,126.9997567
문033,시설관리(문화재),1,37.5585916,126.9997567
문034,시설관리(문화재),1,37.5585916,126.9997567
문035,시설관리(문화재),1,37.5585916,126.9997567
문036,시설관리(문화재),1,37.5608518,127.0031006
문037,시설관리(문화재),1,37.5608518,127.0031006
문038,시설관리(문화재),1,37.5608518,127.0031006
문039,시설관리(문화재),1,37.5637438,126.9723782
문040,시설관리(문화재),1,37.5637438,126.9723782
문041,시설관리(문화재),1,37.5637438,126.9723782
문042,시설관리(문화재),1,37.5637438,126.9723782
문043,시설관리(문화재),1,37.5666832,126.9765543
문044,시설관리(문화재),1,37.5666832,126.9765543
문045,시설관리(문화재),1,37.5666832,126.9765543
문046,시설관리(문화재),1,37.5666832,126.9765543
문047,시설관리(문화재),1,37.5666832,126.9765543
문048,시설관리(문화재),1,37.5675088,126.982792
문049,시설관리(문화재),1,37.5675088,126.982792
문050,시설관리(문화재),1,37.5678981,126.9738946
문051,시설관리(문화재),1,37.5678981,126.9738946
문052,시설관리(문화재),1,37.5678981,126.9738946
문053,시설관리(문화재),1,37.5678981,126.9738946
문054,시설관리(문화재),1,37.55891806,126.9670062
문055,시설관리(문화재),1,37.55891806,126.9670062
문056,시설관리(문화재),1,37.55891806,126.9670062
문057,시설관리(문화재),1,37.55891806,126.9670062
문058,시설관리(문화재),1,37.55891806,126.9670062
문059,시설관리(문화재),1,37.55891806,126.9670062
문060,시설관리(문화재),1,37.55891806,126.9670062
문061,시설관리(문화재),1,37.55891806,126.9670062
문062,시설관리(문화재),1,37.55891806,126.9670062
쓰001,쓰레기 단속,1,37.5620635,126.977591
쓰002,쓰레기 단속,1,37.55168217,127.0055263
쓰003,쓰레기 단속,1,37.5567837,126.9812611
쓰004,쓰레기 단속,1,37.556586,126.9785147
쓰005,쓰레기 단속,1,37.5568216,126.9787684
쓰006,쓰레기 단속,1,37.5563881,126.9803181
쓰007,쓰레기 단속,1,37.557482,126.9850273
쓰008,쓰레기 단속,1,37.558419,126.9837628
쓰009,쓰레기 단속,1,37.5602824,126.9872316
쓰010,쓰레기 단속,1,37.558943,126.9863352
쓰011,쓰레기 단속,1,37.5621987,126.9912035
쓰012,쓰레기 단속,1,37.5616284,126.9924856
쓰013,쓰레기 단속,1,37.5586909,126.9978708
쓰014,쓰레기 단속,1,37.5586007,126.9953051
쓰015,쓰레기 단속,1,37.5612535,127.0040494
쓰016,쓰레기 단속,1,37.5603014,127.0011022
쓰017,쓰레기 단속,1,37.5610627,127.0083542
쓰018,쓰레기 단속,1,37.560684,127.0038238
쓰019,쓰레기 단속,1,37.5632607,127.00775
쓰020,쓰레기 단속,1,37.5635205,126.9961785
쓰021,쓰레기 단속,1,37.564243,127.0192067
쓰022,쓰레기 단속,1,37.5623103,126.9963724
쓰023,쓰레기 단속,1,37.5685235,127.0059098
쓰024,쓰레기 단속,1,37.566288,126.991051
쓰025,쓰레기 단속,1,37.5677439,126.9997
쓰026,쓰레기 단속,1,37.5637042,126.9939337
쓰027,쓰레기 단속,1,37.5617755,127.0136374
쓰028,쓰레기 단속,1,37.5646979,127.0133498
쓰029,쓰레기 단속,1,37.5665658,127.0134701
쓰030,쓰레기 단속,1,37.5612604,127.0136747
쓰031,쓰레기 단속,1,37.5631674,127.0141499
쓰032,쓰레기 단속,1,37.5617067,127.0116632
쓰033,쓰레기 단속,1,37.5519026,127.007053
쓰034,쓰레기 단속,1,37.5511759,127.0060293
쓰035,쓰레기 단속,1,37.5571162,127.0099695
쓰036,쓰레기 단속,1,37.55135,127.0071293
쓰037,쓰레기 단속,1,37.5555817,127.007819
쓰038,쓰레기 단속,1,37.5564851,127.0110021
쓰039,쓰레기 단속,1,37.552172,127.0101662
쓰040,쓰레기 단속,1,37.55242947,127.0143071
쓰041,쓰레기 단속,1,37.5604529,127.016577
쓰042,쓰레기 단속,1,37.5561961,127.0138275
쓰043,쓰레기 단속,1,37.5648206,127.0182348
쓰044,쓰레기 단속,1,37.5625051,127.0207519
쓰045,쓰레기 단속,1,37.5633971,127.0216209
쓰046,쓰레기 단속,1,37.5625692,127.0229368
쓰047,쓰레기 단속,1,37.5622358,127.0200005
쓰048,쓰레기 단속,1,37.5621263,127.0188553
쓰049,쓰레기 단속,1,37.5612872,127.0203547
쓰050,쓰레기 단속,1,37.5605472,127.0198834
쓰051,쓰레기 단속,1,37.5670947,127.0189746
쓰052,쓰레기 단속,1,37.567116,127.0201369
쓰053,쓰레기 단속,1,37.5681705,127.019728
쓰054,쓰레기 단속,1,37.5587271,126.9640557
쓰055,쓰레기 단속,1,37.5579766,126.9631493
쓰056,쓰레기 단속,1,37.5598173,126.966814
쓰057,쓰레기 단속,1,37.5589094,126.962661
쓰058,쓰레기 단속,1,37.5584387,127.0119475
쓰059,쓰레기 단속,1,37.5561591,127.0151216
쓰060,쓰레기 단속,1,37.5694952,127.021712
쓰061,쓰레기 단속,1,37.5651474,127.0092497
쓰062,쓰레기 단속,1,37.5632715,127.0054023
저001,재난관리(저류조),2,37.5588388,126.9940727
저002,재난관리(저류조),2,37.5540368,126.9948661
저003,재난관리(저류조),2,37.5557683,127.0018475
저004,재난관리(저류조),2,37.5539367,127.0005118
저005,재난관리(저류조),2,37.5567763,126.9875325
중101,일반 방범,4,37.5615919,126.9877434
중102,일반 방범,3,37.5622075,126.9925279
중103,일반 방범,4,37.5598189,126.9946111
중104,일반 방범,3,37.5566369,126.9935647
중105,일반 방범,4,37.5578506,126.995786
중106,일반 방범,4,37.5551614,126.995521
중107,일반 방범,1,37.5611394,126.997906
중108,일반 방범,2,37.5605271,126.9980704
중109,일반 방범,2,37.5589282,126.9973719
중110,일반 방범,3,37.55656,126.9958565
중111,일반 방범,4,37.5584011,126.9970541
중112,일반 방범,5,37.5603604,126.9969996
중113,일반 방범,3,37.5558429,126.9938572
중114,일반 방범,2,37.5584314,126.9885707
중115,일반 방범,3,37.5603725,126.99018
중116,일반 방범,1,37.5559979,126.9963097
중117,일반 방범,3,37.5617587,126.9918048
중118,일반 방범,4,37.5606101,126.996273
중119,일반 방범,4,37.56002278,126.9978966
중120,일반 방범,4,37.5588629,126.9982851
중121,일반 방범,4,37.5610795,126.9972175
중201,일반 방범,4,37.5670635,126.9846642
중202,일반 방범,3,37.5686986,127.0076666
중203,일반 방범,3,37.5689755,127.0087686
중204,일반 방범,3,37.5675139,127.0065887
중205,일반 방범,2,37.5675139,127.0065887
중206,일반 방범,3,37.5669463,127.0068329
중207,일반 방범,3,37.5658462,127.0055537
중208,일반 방범,3,37.5648463,127.0090205
중209,일반 방범,3,37.5645042,127.0075468
중210,일반 방범,4,37.5650654,127.0039964
중211,일반 방범,4,37.5644669,127.004619
중212,일반 방범,4,37.5653556,127.0055036
중213,일반 방범,3,37.5657365,127.0069957
중214,일반 방범,4,37.5649968,127.0059114
중215,일반 방범,4,37.564347,127.0005906
중216,일반 방범,4,37.5654678,127.0016193
중217,일반 방범,1,37.5683034,127.0001238
중218,일반 방범,3,37.5673298,126.9990014
중219,일반 방범,2,37.5676537,126.9991635
중220,일반 방범,1,37.5679672,127.0010701
중221,일반 방범,4,37.5638083,127.0017282
중222,일반 방범,4,37.5629514,126.9989796
중223,일반 방범,4,37.5635313,127.0004139
중223가,일반 방범,1,37.5638099,127.0011844
중224,일반 방범,3,37.5655629,126.9989039
중225,일반 방범,1,37.5630384,127.0011574
중226,일반 방범,1,37.5630384,127.0011574
중301,일반 방범,4,37.5691429,127.0118694
중302,일반 방범,3,37.5694218,127.0132185
중303,일반 방범,4,37.5643706,127.0104213
중304,일반 방범,2,37.5637312,127.0108882
중305,일반 방범,3,37.564538,127.0128664
중306,일반 방범,4,37.5626187,127.0119963
중307,일반 방범,3,37.5620044,127.0108454
중308,일반 방범,3,37.5643877,127.0113878
중308가,일반 방범,2,37.5641143,127.0114401
중309,일반 방범,4,37.5631015,127.0142425
중310,일반 방범,2,37.5652402,127.0139856
중311,일반 방범,4,37.5670637,127.0137397
중312,일반 방범,4,37.5628714,127.0132358
중313,일반 방범,3,37.5634222,127.0131584
중314,일반 방범,4,37.5619725,127.0132703
중315,일반 방범,2,37.5630552,127.0111903
중316,일반 방범,4,37.5608233,127.0134473
중317,일반 방범,4,37.5610871,127.0116951
중318,일반 방범,4,37.5634493,127.0152192
중319,일반 방범,4,37.5648219,127.0153596
중320,일반 방범,3,37.5673102,127.0169422
중321,일반 방범,3,37.5666466,127.0158547
중321가,일반 방범,2,37.5674432,127.0151689
중322,일반 방범,4,37.570103,127.018402
중323,일반 방범,3,37.5666054,127.0186437
중324,일반 방범,4,37.5674641,127.0209315
중325,일반 방범,4,37.5664602,127.0211337
중326,일반 방범,3,37.5672141,127.0198968
중327,일반 방범,3,37.565896,127.0184029
중328,일반 방범,4,37.5655955,127.0172579
중328가,일반 방범,1,37.56563,127.0171816
중329,일반 방범,3,37.5659344,127.0230253
중330,일반 방범,4,37.5674122,127.022389
중331,일반 방범,4,37.5684513,127.0197979
중332,일반 방범,4,37.5687525,127.022007
중333,일반 방범,4,37.5701034,127.0216056
중334,일반 방범,4,37.5695915,127.0211482
중335,일반 방범,3,37.569696,127.0197363
중336,일반 방범,1,37.567447,127.020059
중337,일반 방범,3,37.5633274,127.0090486
중338,일반 방범,3,37.5633968,127.0075467
중339,어린이보호,4,37.5623507,127.0143237
중340,일반 방범,4,37.5621155,127.0101241
중341,일반 방범,4,37.563984,127.0090195
중342,일반 방범,5,37.56743488,127.0188349
중501,일반 방범,1,37.552995,127.0084905
중502,일반 방범,2,37.5517535,127.0073277
중503,일반 방범,1,37.5524619,127.0077766
중504,일반 방범,1,37.5543383,127.0095445
중505,일반 방범,4,37.5563966,127.0112976
중506,일반 방범,1,37.5582983,127.0111502
중507,일반 방범,1,37.557049,127.0106664
중508,일반 방범,3,37.5594818,127.0114141
중508가,일반 방범,3,37.5600176,127.0118032
중509,일반 방범,3,37.5615996,127.0096283
중510,일반 방범,3,37.5603137,127.0116623
중511,일반 방범,1,37.5600954,127.0102266
중512,일반 방범,1,37.5595015,127.0092452
중513,일반 방범,1,37.5593028,127.0096248
중514,일반 방범,1,37.5584273,127.0099804
중515,일반 방범,1,37.5564223,127.0102854
중517,일반 방범,3,37.5543067,127.0082479
중518,일반 방범,2,37.5543067,127.0082479
중519,일반 방범,1,37.554086,127.0073907
중520,일반 방범,1,37.5521251,127.0056546
중521,일반 방범,3,37.55088617,127.0057523
중522,일반 방범,1,37.5518982,127.0061012
중523,일반 방범,1,37.5511511,127.0058678
중524,일반 방범,1,37.5505247,127.0071323
중525,일반 방범,1,37.5547387,127.00733
중526,일반 방범,1,37.5492595,127.0058296
중527,일반 방범,1,37.5506929,127.0050681
중528,일반 방범,2,37.5503328,127.005426
중529,일반 방범,1,37.5536271,127.0045866
중530,일반 방범,1,37.5549825,127.0079266
중531,일반 방범,3,37.5552216,127.0067837
중532,일반 방범,3,37.5523312,127.0137913
중533,일반 방범,1,37.5539233,127.0143204
중533가,일반 방범,2,37.55331008,127.0139555
중534,일반 방범,1,37.5531482,127.0146886
중535,일반 방범,1,37.5537527,127.0126725
중536,일반 방범,1,37.5521915,127.0138717
중537,일반 방범,1,37.5526756,127.0091828
중538,일반 방범,2,37.5526326,127.0106196
중539,일반 방범,1,37.5520859,127.0088126
중540,일반 방범,3,37.5496245,127.0080915
중541,일반 방범,2,37.5529745,127.0103378
중542,일반 방범,4,37.5533366,127.0112939
중543,일반 방범,1,37.5525516,127.0116969
중544,일반 방범,1,37.5500195,127.0116094
중545,일반 방범,1,37.5582815,127.0158203
중546,일반 방범,3,37.5578466,127.0154254
중547,일반 방범,1,37.5591851,127.0141809
중548,일반 방범,4,37.5568117,127.0141737
중549,일반 방범,4,37.5573195,127.0132638
중550,일반 방범,1,37.5569408,127.0156173
중551,일반 방범,1,37.5568889,127.0157674
중552,일반 방범,2,37.5563646,127.0170724
중553,일반 방범,1,37.5568278,127.0129737
중554,일반 방범,4,37.5559227,127.0136783
중555,일반 방범,4,37.555582,127.0122579
중556,일반 방범,3,37.5581633,127.0179679
중557,어린이보호,3,37.558404,127.0130084
중558,어린이보호,2,37.5516825,127.0112138
중559,어린이보호,3,37.5500195,127.0116094
중560,어린이보호,5,37.5491389,127.0093824
중561,어린이보호,3,37.5553533,127.0118535
중562,일반 방범,2,37.5510647,127.0045958
중563,일반 방범,4,37.5541209,127.0120984
중564,일반 방범,5,37.5572794,127.0145082
중565,어린이보호,4,37.5579452,127.0115917
중566,일반 방범,4,37.55348998,127.0049664
중567,일반 방범,5,37.5600031,127.0135159
중601,일반 방범,4,37.5625051,127.0207519
중602,일반 방범,3,37.5627125,127.0215336
중603,일반 방범,2,37.5620201,127.0214781
중604,일반 방범,3,37.5632222,127.0238858
중605,일반 방범,4,37.5647914,127.0172209
중606,일반 방범,4,37.5651185,127.0187323
중607,일반 방범,4,37.5634397,127.0180627
중608,일반 방범,2,37.564243,127.0192067
중609,일반 방범,4,37.5651416,127.0211894
중610,일반 방범,4,37.5651826,127.019946
중611,일반 방범,3,37.5645263,127.0219717
중612,일반 방범,4,37.5637954,127.0205358
중613,일반 방범,4,37.5637541,127.0217486
중614,일반 방범,3,37.5634939,127.0207978
중615,일반 방범,4,37.5629712,127.0227402
중616,일반 방범,3,37.5621618,127.023139
중617,일반 방범,4,37.5646847,127.0235781
중618,일반 방범,3,37.5640208,127.0260023
중619,일반 방범,1,37.5640005,127.0264802
중620,일반 방범,2,37.5613246,127.0189982
중621,일반 방범,4,37.5631497,127.0190592
중622,일반 방범,4,37.5625173,127.0184257
중623,일반 방범,3,37.5608639,127.0204825
중624,일반 방범,4,37.5612077,127.0199981
중625,일반 방범,4,37.5631066,127.0169137
중626,일반 방범,3,37.562179,127.0176152
중627,일반 방범,4,37.5620742,127.0166081
중628,일반 방범,4,37.560883,127.0150957
중629,일반 방범,1,37.5615821,127.0157237
중630,일반 방범,2,37.5608044,127.015932
중631,일반 방범,1,37.5628266,127.0161805
중632,어린이보호,2,37.5615671,127.0196595
중633,어린이보호,3,37.563149,127.0200609
중634,일반 방범,4,37.5620576,127.0183967
중635,일반 방범,4,37.5642418,127.0260288
중636,일반 방범,4,37.5633744,127.0246479
중637,일반 방범,5,37.5653809,127.0193005
중638,일반 방범,4,37.5629346,127.0229999
중639,일반 방범,5,37.5644222,127.020926
중640,일반 방범,5,37.5645865,127.0197772
중701,일반 방범,4,37.5615909,127.0073092
중701가,일반 방범,2,37.56188664,127.0078758
중702,일반 방범,1,37.5613405,127.0083912
중703,일반 방범,1,37.5613617,127.0069489
중704,일반 방범,1,37.5607929,127.0086316
중705,일반 방범,1,37.5601597,127.0081183
중706,일반 방범,1,37.5599542,127.0074769
중707,일반 방범,3,37.5611524,127.0043507
중708,일반 방범,1,37.5618097,127.0047234
중708가,일반 방범,3,37.5590295,126.9772521
중708나,일반 방범,3,37.5616556,127.004181
